Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0019,Homerton College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0020,Kent Institute of Art and Design,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0021,The University of Winchester,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0022,La Sainte Union College of HE,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0023,Liverpool Hope University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0024,"University of the Arts, London",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0025,Loughborough College of Art and Design,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0026,University of Bedfordshire,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0027,The University of Northampton,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0028,Newman University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0029,North Riding College Higher Education Corporation,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0030,Ravensbourne University London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0031,Roehampton University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0032,Rose Bruford College of Theatre and Performance,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0033,Royal Academy of Music,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0034,Royal College of Music,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0035,Royal Northern College of Music,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0036,Salford College of Technology,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0037,Solent University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0038,University of Cumbria,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0039,"St Mary's University, Twickenham",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0040,Leeds Trinity University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0041,Trinity Laban Conservatoire of Music and Dance,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0042,Westminster College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0043,West London Institute of HE,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0044,"The Surrey Institute of Art and Design, University College",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0045,Winchester School of Art,HESA,25/26,No Change
